,PM2.5,PM10,SO2,NO2,CO,O3,U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lon,date,IAQI_SO2,IAQI_NO2,IAQI_PM10,IAQI_CO,IAQI_O3,IAQI_PM25,IAQI
9110,17.04,17.59,2.24,0.69,0.13,87.83,0.1,2.35,279.84,82.02,66947.98,"95.52,29.76",2013-10-1,2.24,0.8624999999999999,17.59,3.25,43.915,24.34285714285714,43.915
9120,15.85,16.34,2.08,0.56,0.13,96.9,-1.01,0.46,278.59,74.36,62711.5,"97.08,29.87",2013-10-1,2.08,0.7000000000000001,16.34,3.25,48.45,22.642857142857142,48.45
9130,15.89,16.4,2.08,0.7,0.13,81.07,-0.64,0.58,276.16,88.72,60530.31,"98.64,29.96",2013-10-1,2.08,0.875,16.4,3.25,40.535,22.700000000000003,40.535
9140,11.43,11.77,1.36,1.28,0.13,78.16,-0.18,-1.24,275.09,89.33,60412.97,"100.21,30.03",2013-10-1,1.36,1.6,11.77,3.25,39.08,16.32857142857143,39.08
9150,36.22,38.48,12.35,2.08,0.24,80.37,0.25,1.41,275.9,95.06,63108.0,"101.78,30.08",2013-10-1,12.35,2.6,38.48,6.0,40.185,51.525,51.525
9160,58.32,71.51,17.91,10.58,0.5,83.81,0.86,0.02,295.34,54.54,95085.5,"103.35,30.11",2013-10-1,17.91,13.225,60.755,12.5,41.905,79.15,79.15
9170,75.22,102.19,11.71,20.36,0.89,57.82,-2.19,-2.52,295.71,52.13,96786.01,"104.92,30.12",2013-10-1,11.71,25.45,76.095,22.25,28.91,100.275,100.275
9180,88.29,135.4,26.59,45.52,1.16,42.8,-1.14,2.76,295.23,56.68,97301.73,"106.49,30.11",2013-10-1,26.59,56.900000000000006,92.7,28.999999999999996,21.4,116.61250000000001,116.61250000000001
9190,62.18,71.45,22.06,7.64,0.49,89.84,-2.01,2.27,293.01,51.07,93592.11,"108.06,30.08",2013-10-1,22.06,9.549999999999999,60.725,12.25,44.92,83.975,83.975
9200,51.92,56.42,19.25,3.5,0.32,94.11,-0.44,-1.41,289.85,50.57,89304.27,"109.63,30.04",2013-10-1,19.25,4.375,53.21,8.0,47.055,71.15,71.15
9210,77.83,87.76,50.66,9.75,0.51,94.64,0.08,-0.66,294.39,57.11,96591.87,"111.2,29.97",2013-10-1,50.33,12.1875,68.88,12.75,47.32,103.5375,103.5375
9220,61.81,75.49,21.11,18.98,0.52,101.42,-0.49,-0.75,295.12,65.42,101486.42,"112.77,29.88",2013-10-1,21.11,23.725,62.745,13.0,51.18333333333334,83.5125,83.5125
9230,49.71,64.36,14.92,17.24,0.51,92.67,-1.78,-0.17,294.7,65.11,100035.5,"114.33,29.77",2013-10-1,14.92,21.549999999999997,57.18,12.75,46.335,68.3875,68.3875
9240,40.7,55.37,21.68,19.31,0.58,78.45,-1.88,-2.47,295.01,72.54,100656.74,"115.89,29.64",2013-10-1,21.68,24.1375,52.685,14.499999999999998,39.225,57.125,57.125
9250,34.49,38.51,12.11,9.58,0.35,86.94,-2.34,-2.9,294.04,67.25,99240.93,"117.44,29.49",2013-10-1,12.11,11.975,38.51,8.75,43.47,49.27142857142857,49.27142857142857
9260,55.29,63.94,14.68,20.14,0.48,84.45,-0.23,-2.76,291.31,83.57,97491.55,"118.99,29.32",2013-10-1,14.68,25.175,56.97,12.0,42.225,75.3625,75.3625
9270,53.9,73.03,17.21,32.55,0.66,76.07,-1.03,-4.24,291.11,82.3,95892.32,"120.53,29.13",2013-10-1,17.21,40.6875,61.515,16.5,38.035,73.625,73.625
9280,19.63,20.49,2.12,0.48,0.17,88.71,5.79,6.9,272.77,88.76,54819.87,"85.47,28.69",2013-10-1,2.12,0.6,20.49,4.25,44.355,28.04285714285714,44.355
9290,17.1,17.73,1.78,0.53,0.16,91.18,2.41,4.69,272.79,83.54,53990.15,"86.99,28.93",2013-10-1,1.78,0.6625000000000001,17.73,4.0,45.59,24.42857142857143,45.59
9300,13.81,14.38,1.58,0.8,0.15,82.47,1.92,-0.38,283.32,49.96,61981.73,"88.53,29.15",2013-10-1,1.58,1.0,14.38,3.75,41.235,19.72857142857143,41.235
9310,16.26,16.94,2.08,0.83,0.15,85.05,2.6,1.25,279.96,64.97,60308.78,"90.07,29.35",2013-10-1,2.08,1.0374999999999999,16.94,3.75,42.525,23.22857142857143,42.525
9320,16.31,18.44,2.92,1.85,0.18,82.32,0.6,6.24,271.93,96.36,54353.38,"91.61,29.53",2013-10-1,2.92,2.3125,18.44,4.5,41.16,23.299999999999997,41.16
9330,18.01,18.58,2.18,0.55,0.14,85.64,-0.94,4.25,273.69,87.21,57338.0,"93.16,29.69",2013-10-1,2.18,0.6875,18.58,3.5000000000000004,42.82,25.72857142857143,42.82
9340,16.97,17.51,2.25,0.59,0.14,88.46,-0.41,1.72,277.12,87.96,62833.57,"94.72,29.83",2013-10-1,2.25,0.7374999999999999,17.51,3.5000000000000004,44.23,24.24285714285714,44.23
9350,15.88,16.41,2.23,0.44,0.13,98.72,1.36,1.46,277.35,80.83,62081.84,"96.28,29.95",2013-10-1,2.23,0.55,16.41,3.25,49.36,22.685714285714287,49.36
9360,14.51,14.92,1.6,0.6,0.13,84.48,0.36,0.45,274.62,89.72,58462.69,"97.85,30.05",2013-10-1,1.6,0.75,14.92,3.25,42.24,20.728571428571428,42.24
9370,14.49,14.95,1.87,0.91,0.13,83.57,0.47,-0.13,275.36,88.49,59750.14,"99.42,30.13",2013-10-1,1.87,1.1375,14.95,3.25,41.785,20.7,41.785
9380,14.98,15.68,3.78,1.3,0.16,76.57,-0.39,0.0,282.45,71.14,68613.23,"100.99,30.19",2013-10-1,3.78,1.625,15.68,4.0,38.285,21.400000000000002,38.285
9390,63.41,70.92,17.84,3.41,0.38,89.5,-2.2,0.58,279.18,98.74,71837.47,"102.56,30.23",2013-10-1,17.84,4.2625,60.46,9.5,44.75,85.51249999999999,85.51249999999999
9400,84.41,114.02,17.36,41.53,0.92,51.91,-0.6,-1.54,295.78,50.66,95682.47,"104.13,30.26",2013-10-1,17.36,51.9125,82.00999999999999,23.0,25.955,111.76249999999999,111.76249999999999
9410,77.09,112.34,21.86,36.98,1.02,49.56,-1.44,-0.03,295.92,52.99,97967.91,"105.71,30.26",2013-10-1,21.86,46.224999999999994,81.17,25.5,24.78,102.61250000000001,102.61250000000001
9420,86.15,111.55,26.16,26.91,0.92,59.49,-0.02,1.04,294.21,58.11,96765.82,"107.28,30.24",2013-10-1,26.16,33.6375,80.775,23.0,29.745,113.9375,113.9375
9430,59.81,65.11,24.94,4.89,0.35,94.23,2.24,-0.64,288.88,59.36,87650.23,"108.86,30.2",2013-10-1,24.94,6.1125,57.555,8.75,47.115,81.0125,81.0125
9440,60.45,66.51,28.38,4.54,0.38,93.18,0.73,-2.0,287.73,55.44,85055.8,"110.43,30.14",2013-10-1,28.38,5.675,58.255,9.5,46.59,81.8125,81.8125
9450,92.23,107.6,69.55,21.52,0.7,91.07,0.08,-1.17,295.36,59.77,101332.34,"111.99,30.06",2013-10-1,59.775,26.9,78.8,17.5,45.535,121.53750000000001,121.53750000000001
9460,53.34,70.32,15.02,18.06,0.49,98.25,-0.96,-0.64,295.54,65.19,101448.62,"113.56,29.96",2013-10-1,15.02,22.575,60.16,12.25,49.125,72.92500000000001,72.92500000000001
9470,44.94,57.95,15.84,20.76,0.5,87.36,-1.59,-2.1,295.37,67.15,101068.73,"115.12,29.84",2013-10-1,15.84,25.950000000000003,53.975,12.5,43.68,62.425,62.425
9480,30.98,37.43,10.95,8.72,0.39,79.97,-2.07,-2.95,294.08,68.41,100635.78,"116.68,29.7",2013-10-1,10.95,10.9,37.43,9.75,39.985,44.25714285714286,44.25714285714286
9490,54.06,58.29,15.08,16.02,0.42,84.73,-2.43,-1.57,290.83,80.8,95781.77,"118.23,29.54",2013-10-1,15.08,20.025,54.144999999999996,10.5,42.365,73.825,73.825
9500,55.08,72.11,18.07,30.72,0.63,80.23,-1.21,-3.43,293.1,76.86,98991.55,"119.78,29.36",2013-10-1,18.07,38.4,61.055,15.75,40.115,75.1,75.1
9510,36.1,55.18,16.84,29.08,0.67,86.29,0.8,-5.46,294.3,73.72,98965.01,"121.32,29.17",2013-10-1,16.84,36.349999999999994,52.59,16.75,43.145,51.375,52.59
9520,19.05,20.15,1.99,0.42,0.17,88.34,3.44,2.31,273.58,83.59,54312.17,"85.9,28.89",2013-10-1,1.99,0.525,20.15,4.25,44.17,27.214285714285715,44.17
9530,14.95,15.56,1.72,0.46,0.16,86.89,5.56,3.44,280.1,53.51,58896.0,"87.43,29.13",2013-10-1,1.72,0.5750000000000001,15.56,4.0,43.445,21.357142857142858,43.445
9540,14.7,15.3,1.75,1.04,0.15,80.57,-0.68,0.15,283.3,54.5,63014.38,"88.96,29.34",2013-10-1,1.75,1.3,15.3,3.75,40.285,21.0,40.285
9550,16.29,18.68,2.51,1.73,0.23,85.9,6.48,2.59,271.55,92.22,52853.64,"90.51,29.54",2013-10-1,2.51,2.1625,18.68,5.75,42.95,23.271428571428572,42.95
9560,16.45,17.11,1.93,0.75,0.14,81.23,0.94,5.89,275.93,78.38,57471.39,"92.06,29.71",2013-10-1,1.93,0.9375,17.11,3.5000000000000004,40.615,23.5,40.615
9570,17.77,18.33,2.21,0.82,0.14,87.84,-2.58,1.4,276.26,86.9,61715.3,"93.61,29.87",2013-10-1,2.21,1.025,18.33,3.5000000000000004,43.92,25.385714285714286,43.92
9580,16.21,16.69,2.22,0.55,0.13,94.23,-0.94,1.6,279.58,77.99,65874.93,"95.17,30.0",2013-10-1,2.22,0.6875,16.69,3.25,47.115,23.15714285714286,47.115
9590,15.81,16.3,1.93,0.56,0.13,94.69,1.79,0.84,273.17,87.3,56122.18,"96.74,30.12",2013-10-1,1.93,0.7000000000000001,16.3,3.25,47.345,22.585714285714285,47.345
9600,13.44,13.82,1.54,0.49,0.13,80.65,-1.52,0.23,275.68,88.76,59965.62,"98.31,30.21",2013-10-1,1.54,0.6125,13.82,3.25,40.325,19.2,40.325
9610,10.06,10.34,1.01,1.01,0.12,81.02,-1.72,-1.68,274.28,88.51,59408.2,"99.88,30.29",2013-10-1,1.01,1.2625,10.34,3.0,40.51,14.371428571428572,40.51
9620,23.26,24.63,6.79,1.25,0.19,80.91,-1.12,-0.39,276.45,85.89,62987.29,"101.45,30.34",2013-10-1,6.79,1.5625,24.63,4.75,40.455,33.228571428571435,40.455
9630,56.93,66.32,17.42,5.18,0.42,94.4,-0.97,-1.06,289.49,66.55,86693.45,"103.03,30.38",2013-10-1,17.42,6.475,58.16,10.5,47.2,77.4125,77.4125
9640,66.74,90.16,13.7,22.2,0.77,63.21,-1.66,-1.97,296.42,49.14,97098.14,"104.61,30.39",2013-10-1,13.7,27.75,70.08,19.25,31.605,89.675,89.675
9650,86.13,130.57,23.02,43.72,1.18,41.84,-0.69,1.21,295.39,56.19,98058.03,"106.18,30.39",2013-10-1,23.02,54.65,90.285,29.5,20.92,113.9125,113.9125
9660,76.59,92.82,25.09,16.68,0.71,70.55,0.11,1.57,293.93,54.89,95678.2,"107.76,30.36",2013-10-1,25.09,20.85,71.41,17.75,35.275,101.98750000000001,101.98750000000001
9670,62.16,68.13,29.64,7.01,0.39,90.81,0.92,-1.41,291.49,54.98,93098.92,"109.33,30.32",2013-10-1,29.64,8.7625,59.065,9.75,45.405,83.94999999999999,83.94999999999999
9680,66.49,73.74,35.65,5.04,0.42,92.75,2.47,-0.25,291.28,56.52,90987.98,"110.91,30.25",2013-10-1,35.65,6.3,61.87,10.5,46.375,89.3625,89.3625
9690,72.38,89.45,28.52,23.05,0.6,96.59,-0.19,-0.34,295.16,61.76,101401.48,"112.48,30.17",2013-10-1,28.52,28.8125,69.725,15.0,48.295,96.725,96.725
9700,52.29,72.07,15.61,21.48,0.52,95.39,-1.61,-0.44,296.41,63.98,101521.73,"114.04,30.06",2013-10-1,15.61,26.85,61.035,13.0,47.695,71.6125,71.6125
9710,43.94,54.36,16.31,17.2,0.53,81.35,-1.43,-2.07,295.27,63.65,101506.56,"115.61,29.94",2013-10-1,16.31,21.5,52.18,13.25,40.675,61.175,61.175
9720,31.75,37.4,11.21,9.1,0.35,80.47,-2.47,-3.32,292.96,71.6,98705.65,"117.16,29.79",2013-10-1,11.21,11.375,37.4,8.75,40.235,45.35714285714286,45.35714285714286
9730,43.43,49.87,11.83,12.71,0.41,88.58,-1.27,-1.58,291.87,79.74,97957.23,"118.72,29.63",2013-10-1,11.83,15.887500000000001,49.87,10.25,44.29,60.5375,60.5375
9740,61.73,88.1,24.73,43.87,0.79,67.54,-0.65,-4.35,291.91,81.74,97942.22,"120.27,29.44",2013-10-1,24.73,54.8375,69.05,19.75,33.77,83.4125,83.4125
9750,19.54,30.17,8.91,13.88,0.35,102.03,1.28,-6.27,296.31,74.43,101183.59,"121.81,29.24",2013-10-1,8.91,17.35,30.17,8.75,51.69166666666667,27.914285714285715,51.69166666666667
9760,20.37,21.74,1.92,0.44,0.18,88.8,1.87,0.85,274.15,92.6,55765.35,"85.87,29.03",2013-10-1,1.92,0.55,21.74,4.5,44.4,29.1,44.4
9770,16.24,16.98,1.7,0.45,0.17,85.38,5.87,-0.5,279.7,59.12,58994.52,"87.4,29.26",2013-10-1,1.7,0.5625,16.98,4.25,42.69,23.2,42.69
9780,15.53,16.14,1.71,0.94,0.15,81.96,1.07,2.19,277.81,71.72,57982.92,"88.94,29.48",2013-10-1,1.71,1.1749999999999998,16.14,3.75,40.98,22.185714285714287,40.98
9790,15.14,17.36,2.22,1.43,0.23,88.4,6.57,3.94,272.17,89.9,53380.69,"90.49,29.67",2013-10-1,2.22,1.7874999999999999,17.36,5.75,44.2,21.62857142857143,44.2
9800,16.61,17.27,1.92,0.73,0.14,78.97,-0.3,4.59,275.45,83.22,57400.72,"92.04,29.85",2013-10-1,1.92,0.9125,17.27,3.5000000000000004,39.485,23.728571428571428,39.485
9810,17.79,18.34,2.13,0.7,0.14,90.6,-2.68,1.19,275.03,91.88,60497.56,"93.6,30.0",2013-10-1,2.13,0.875,18.34,3.5000000000000004,45.3,25.414285714285715,45.3
9820,16.29,16.79,2.16,0.51,0.13,96.71,-0.71,1.55,276.27,87.63,61802.25,"95.16,30.14",2013-10-1,2.16,0.6375,16.79,3.25,48.355,23.271428571428572,48.355
9830,14.31,14.77,1.83,0.53,0.13,91.57,-0.14,0.26,278.6,67.15,61283.02,"96.73,30.25",2013-10-1,1.83,0.6625000000000001,14.77,3.25,45.785,20.442857142857143,45.785
9840,12.32,12.67,1.37,0.49,0.13,79.23,-1.56,-0.11,276.36,86.1,60648.44,"98.3,30.35",2013-10-1,1.37,0.6125,12.67,3.25,39.615,17.6,39.615
9850,9.65,9.91,0.9,0.9,0.12,81.33,-2.48,-1.84,273.82,88.77,59068.72,"99.87,30.42",2013-10-1,0.9,1.125,9.91,3.0,40.665,13.785714285714286,40.665
9860,21.46,22.73,6.17,1.23,0.18,81.44,-2.02,-1.26,277.18,82.18,64042.56,"101.45,30.48",2013-10-1,6.17,1.5375,22.73,4.5,40.72,30.65714285714286,40.72
9870,56.14,64.7,16.38,4.53,0.4,94.09,-1.27,-0.1,287.75,70.31,84416.81,"103.03,30.51",2013-10-1,16.38,5.6625000000000005,57.35,10.0,47.045,76.425,76.425
9880,64.29,86.29,13.24,20.66,0.74,65.88,-1.31,-2.01,296.26,48.98,96616.88,"104.61,30.53",2013-10-1,13.24,25.825,68.14500000000001,18.5,32.94,86.61250000000001,86.61250000000001
9890,93.98,138.42,22.71,45.4,1.29,33.75,-0.85,1.04,294.91,55.96,97809.47,"106.18,30.52",2013-10-1,22.71,56.75,94.21,32.25,16.875,123.72500000000001,123.72500000000001
9900,80.26,97.75,28.08,20.07,0.75,64.94,0.25,1.78,293.79,55.0,95776.11,"107.76,30.5",2013-10-1,28.08,25.0875,73.875,18.75,32.47,106.575,106.575
9910,62.24,68.15,30.85,7.39,0.39,90.4,1.72,-2.04,289.58,55.76,88282.66,"109.34,30.45",2013-10-1,30.85,9.237499999999999,59.075,9.75,45.2,84.05000000000001,84.05000000000001
9920,65.85,73.08,39.95,5.25,0.42,96.64,3.63,0.44,292.68,54.72,93934.82,"110.91,30.39",2013-10-1,39.95,6.5625,61.54,10.5,48.32,88.5625,88.5625
9930,74.07,93.4,38.53,27.9,0.63,94.43,-0.53,-0.28,295.38,61.14,101417.73,"112.49,30.3",2013-10-1,38.53,34.875,71.7,15.75,47.215,98.83749999999999,98.83749999999999
9940,54.59,77.9,16.98,28.35,0.57,92.84,-1.27,-0.6,296.6,63.18,101483.89,"114.06,30.2",2013-10-1,16.98,35.4375,63.95,14.249999999999998,46.42,74.48750000000001,74.48750000000001
9950,38.4,46.81,12.84,14.56,0.46,82.64,-1.95,-2.26,295.52,61.62,100583.71,"115.62,30.07",2013-10-1,12.84,18.2,46.81,11.5,41.32,54.25,54.25
9960,31.83,37.46,11.4,9.68,0.35,81.06,-2.74,-2.92,292.53,71.43,97581.61,"117.18,29.93",2013-10-1,11.4,12.1,37.46,8.75,40.53,45.47142857142857,45.47142857142857
9970,39.33,45.92,10.91,12.32,0.4,89.16,-1.82,-2.2,291.87,76.62,96982.95,"118.74,29.76",2013-10-1,10.91,15.4,45.92,10.0,44.58,55.412499999999994,55.412499999999994
9980,60.45,89.05,26.47,46.03,0.81,64.38,0.01,-3.24,292.35,81.46,99282.38,"120.29,29.58",2013-10-1,26.47,57.5375,69.525,20.25,32.19,81.8125,81.8125
9990,21.55,32.76,8.19,15.12,0.38,93.47,1.43,-5.44,295.16,75.92,100501.25,"121.83,29.37",2013-10-1,8.19,18.9,32.76,9.5,46.735,30.78571428571429,46.735
10000,19.81,20.93,2.07,0.4,0.18,85.03,5.68,0.21,276.73,70.74,57351.61,"85.69,29.14",2013-10-1,2.07,0.5,20.93,4.5,42.515,28.299999999999997,42.515
10010,17.34,18.17,1.75,0.37,0.17,87.61,5.89,0.01,277.38,70.02,57439.38,"87.22,29.37",2013-10-1,1.75,0.4625,18.17,4.25,43.805,24.771428571428572,43.805
10020,15.32,15.96,1.49,0.59,0.16,87.26,5.09,2.6,273.82,82.41,53979.28,"88.76,29.59",2013-10-1,1.49,0.7374999999999999,15.96,4.0,43.63,21.885714285714286,43.63
10030,12.83,13.86,1.52,0.81,0.16,93.69,4.17,2.99,275.05,82.65,56377.45,"90.31,29.79",2013-10-1,1.52,1.0125000000000002,13.86,4.0,46.845,18.32857142857143,46.845
10040,16.11,16.91,1.96,0.91,0.14,78.1,-0.7,2.66,277.88,76.8,59742.28,"91.86,29.96",2013-10-1,1.96,1.1375,16.91,3.5000000000000004,39.05,23.014285714285712,39.05
10050,17.66,18.21,2.06,0.51,0.14,91.49,-4.17,4.07,271.81,96.67,56096.32,"93.42,30.12",2013-10-1,2.06,0.6375,18.21,3.5000000000000004,45.745,25.228571428571428,45.745
10060,16.04,16.51,2.17,0.47,0.13,96.31,-1.14,2.16,276.4,85.54,61696.64,"94.99,30.26",2013-10-1,2.17,0.5874999999999999,16.51,3.25,48.155,22.914285714285715,48.155
10070,12.96,13.36,1.61,0.49,0.13,87.85,0.59,0.82,279.31,65.88,62150.56,"96.56,30.38",2013-10-1,1.61,0.6125,13.36,3.25,43.925,18.514285714285716,43.925
10080,10.87,11.17,1.14,0.46,0.12,76.98,-1.68,-0.99,277.23,82.67,61601.09,"98.13,30.48",2013-10-1,1.14,0.5750000000000001,11.17,3.0,38.49,15.528571428571428,38.49
10090,9.77,10.02,0.87,0.71,0.12,81.62,-2.86,-0.68,272.62,91.95,57632.07,"99.71,30.55",2013-10-1,0.87,0.8875,10.02,3.0,40.81,13.957142857142857,40.81
10100,18.19,19.15,4.41,1.19,0.16,82.59,-2.04,-1.63,275.27,87.83,61767.52,"101.29,30.61",2013-10-1,4.41,1.4874999999999998,19.15,4.0,41.295,25.985714285714288,41.295
10110,55.43,62.4,14.02,3.57,0.36,89.06,-1.54,1.16,280.24,93.75,73683.93,"102.87,30.65",2013-10-1,14.02,4.4624999999999995,56.2,9.0,44.53,75.5375,75.5375
10120,64.18,86.8,16.04,23.34,0.71,68.31,-0.93,-1.56,295.48,50.08,95017.98,"104.45,30.67",2013-10-1,16.04,29.175,68.4,17.75,34.155,86.47500000000001,86.47500000000001
10130,86.96,118.62,19.74,32.75,1.11,38.13,-0.68,0.41,294.95,52.05,97975.84,"106.03,30.66",2013-10-1,19.74,40.9375,84.31,27.750000000000004,19.065,114.94999999999999,114.94999999999999
10140,86.73,107.04,27.42,24.75,0.85,55.41,-0.31,2.28,293.42,57.96,95814.45,"107.61,30.64",2013-10-1,27.42,30.9375,78.52000000000001,21.25,27.705,114.66250000000001,114.66250000000001
10150,58.77,64.15,26.41,5.33,0.36,91.72,0.76,0.75,288.64,56.22,86861.09,"109.19,30.6",2013-10-1,26.41,6.6625,57.075,9.0,45.86,79.7125,79.7125
10160,65.63,72.58,38.68,5.62,0.41,96.04,1.56,-1.14,290.23,59.17,88848.68,"110.77,30.53",2013-10-1,38.68,7.025,61.29,10.25,48.02,88.2875,88.2875
10170,79.18,99.13,51.4,31.08,0.71,86.94,-0.38,-0.71,295.82,59.36,101320.05,"112.34,30.45",2013-10-1,50.7,38.849999999999994,74.565,17.75,43.47,105.22500000000001,105.22500000000001
10180,59.33,84.77,17.34,35.51,0.59,91.0,-0.33,-0.4,295.74,64.97,101385.18,"113.91,30.34",2013-10-1,17.34,44.387499999999996,67.38499999999999,14.75,45.5,80.4125,80.4125
10190,41.28,49.72,13.76,16.58,0.45,82.73,-1.29,-2.35,295.71,58.55,100869.98,"115.48,30.22",2013-10-1,13.76,20.724999999999998,49.72,11.25,41.365,57.85,57.85
10200,30.87,37.53,12.63,11.08,0.36,81.66,-2.55,-2.11,293.76,67.71,99802.45,"117.04,30.08",2013-10-1,12.63,13.85,37.53,9.0,40.83,44.1,44.1
10210,38.53,45.39,11.15,13.55,0.41,90.2,-0.91,-1.84,293.23,70.99,99441.16,"118.6,29.91",2013-10-1,11.15,16.9375,45.39,10.25,45.1,54.4125,54.4125
10220,56.59,84.82,23.56,44.0,0.77,63.32,0.99,-4.28,293.49,76.82,100609.97,"120.16,29.73",2013-10-1,23.56,55.0,67.41,19.25,31.66,76.98750000000001,76.98750000000001
10230,29.15,46.09,10.15,23.83,0.54,86.88,1.93,-4.71,294.76,78.75,100522.8,"121.7,29.53",2013-10-1,10.15,29.787499999999998,46.09,13.5,43.44,41.64285714285714,46.09
10240,21.47,22.51,2.16,0.53,0.19,81.37,4.46,1.12,277.3,65.85,57879.36,"85.51,29.25",2013-10-1,2.16,0.6625000000000001,22.51,4.75,40.685,30.67142857142857,40.685
10250,17.52,18.34,1.66,0.36,0.17,86.21,4.74,2.04,274.77,80.6,55411.2,"87.04,29.48",2013-10-1,1.66,0.44999999999999996,18.34,4.25,43.105,25.02857142857143,43.105
10260,14.67,15.34,1.38,0.43,0.16,88.44,4.43,2.52,276.88,74.36,56996.09,"88.58,29.7",2013-10-1,1.38,0.5375,15.34,4.0,44.22,20.95714285714286,44.22
10270,13.24,13.85,1.32,0.69,0.15,93.18,4.19,2.33,271.74,90.9,53160.94,"90.13,29.9",2013-10-1,1.32,0.8624999999999999,13.85,3.75,46.59,18.914285714285715,46.59
10280,16.15,17.11,1.95,0.89,0.15,80.22,-0.51,2.41,276.24,84.66,58734.62,"91.69,30.08",2013-10-1,1.95,1.1125,17.11,3.75,40.11,23.07142857142857,40.11
10290,17.16,17.69,2.02,0.45,0.14,91.29,-2.33,3.52,272.98,91.51,57064.14,"93.25,30.24",2013-10-1,2.02,0.5625,17.69,3.5000000000000004,45.645,24.514285714285716,45.645
10300,15.48,15.95,2.18,0.34,0.13,94.63,-0.03,1.99,278.54,76.99,64213.42,"94.82,30.38",2013-10-1,2.18,0.42500000000000004,15.95,3.25,47.315,22.114285714285714,47.315
10310,12.01,12.37,1.43,0.52,0.13,85.78,-0.26,0.71,277.99,70.31,60930.06,"96.39,30.5",2013-10-1,1.43,0.65,12.37,3.25,42.89,17.15714285714286,42.89
10320,10.1,10.38,1.05,0.43,0.12,78.58,-1.81,-1.02,277.83,78.86,62348.24,"97.96,30.6",2013-10-1,1.05,0.5375,10.38,3.0,39.29,14.428571428571429,39.29
10330,9.8,10.05,0.87,0.68,0.12,81.37,-3.06,0.12,272.98,89.26,58048.94,"99.54,30.68",2013-10-1,0.87,0.8500000000000001,10.05,3.0,40.685,14.000000000000002,40.685
10340,14.4,15.08,3.05,1.11,0.15,80.3,-0.99,-1.63,276.89,80.01,63303.93,"101.12,30.74",2013-10-1,3.05,1.3875000000000002,15.08,3.75,40.15,20.571428571428573,40.15
10350,50.29,55.75,11.83,2.91,0.32,86.14,0.25,0.73,276.59,92.87,66146.72,"102.7,30.78",2013-10-1,11.83,3.6375,52.875,8.0,43.07,69.1125,69.1125
10360,65.93,91.67,18.3,28.83,0.75,66.47,-0.75,-0.95,296.2,47.71,95762.95,"104.29,30.8",2013-10-1,18.3,36.037499999999994,70.83500000000001,18.75,33.235,88.66250000000001,88.66250000000001
10370,84.92,107.38,16.75,24.17,1.0,43.9,-1.23,0.03,295.15,50.04,97421.4,"105.87,30.8",2013-10-1,16.75,30.212500000000002,78.69,25.0,21.95,112.4,112.4
10380,88.65,110.76,26.02,25.94,0.89,51.26,-0.57,3.11,293.65,58.39,96119.93,"107.45,30.78",2013-10-1,26.02,32.425000000000004,80.38,22.25,25.63,117.0625,117.0625
10390,59.94,66.09,31.07,6.56,0.39,88.9,0.2,2.42,293.88,46.33,95255.43,"109.04,30.74",2013-10-1,31.07,8.2,58.045,9.75,44.45,81.175,81.175
10400,65.72,72.37,36.94,5.37,0.4,94.44,1.51,-0.69,289.06,58.99,86887.05,"110.62,30.67",2013-10-1,36.94,6.7125,61.185,10.0,47.22,88.4,88.4
10410,74.75,88.52,57.69,18.63,0.61,94.96,-0.23,-0.75,295.35,57.51,101106.37,"112.19,30.59",2013-10-1,53.845,23.287499999999998,69.25999999999999,15.25,47.48,99.6875,99.6875
10420,64.87,94.77,19.55,51.3,0.65,84.31,-0.61,0.01,295.45,65.27,101357.7,"113.77,30.49",2013-10-1,19.55,64.125,72.38499999999999,16.25,42.155,87.3375,87.3375
10430,45.16,54.38,13.88,17.84,0.46,82.9,-1.35,-2.47,295.18,59.95,100641.76,"115.34,30.37",2013-10-1,13.88,22.3,52.19,11.5,41.45,62.699999999999996,62.699999999999996
10440,35.98,46.0,15.06,13.57,0.41,80.78,-2.49,-2.74,295.14,70.42,101518.28,"116.91,30.23",2013-10-1,15.06,16.9625,46.0,10.25,40.39,51.224999999999994,51.224999999999994
10450,41.22,48.59,11.51,14.59,0.44,85.75,-0.09,-3.01,291.65,76.8,97302.26,"118.47,30.07",2013-10-1,11.51,18.2375,48.59,11.0,42.875,57.775,57.775
10460,55.92,83.41,22.29,43.35,0.75,63.37,0.74,-3.18,292.2,80.77,99027.8,"120.02,29.88",2013-10-1,22.29,54.1875,66.705,18.75,31.685,76.15,76.15
10470,37.52,62.67,15.24,37.72,0.73,81.38,1.94,-4.66,295.14,77.46,100981.83,"121.57,29.68",2013-10-1,15.24,47.15,56.335,18.25,40.69,53.150000000000006,56.335
10480,22.34,23.34,2.19,0.63,0.19,77.99,4.15,-0.26,277.73,64.87,57813.33,"85.32,29.36",2013-10-1,2.19,0.7875,23.34,4.75,38.995,31.914285714285715,38.995
10490,18.24,19.07,1.67,0.32,0.18,87.29,5.45,3.16,273.27,82.85,53806.82,"86.86,29.6",2013-10-1,1.67,0.4,19.07,4.5,43.645,26.057142857142857,43.645
10500,14.88,15.55,1.28,0.49,0.16,87.33,4.09,2.64,274.75,83.39,55327.45,"88.4,29.82",2013-10-1,1.28,0.6125,15.55,4.0,43.665,21.25714285714286,43.665
